St_Date,LAT,LOG,Area,SubArea,FdYear,p,R
5_31F1,51.0107,1.105,5,31F1,0.00039,0.859,0.036
5_31F1,51.0141,1.1097,5,31F1,0.00039,0.859,0.036
5_31F1,51.0149,1.7733,5,31F1,0.00039,0.859,0.036
5_31F1,51.0206,1.7899,5,31F1,0.00039,0.859,0.036
5_31F1,51.0232,1.7981,5,31F1,0.00039,0.859,0.036
5_31F1,51.0344,1.8301,5,31F1,0.00039,0.859,0.036
5_31F1,51.0356,1.8346,5,31F1,0.00039,0.859,0.036
5_31F1,51.0376,1.8381,5,31F1,0.00039,0.859,0.036
5_31F1,51.0382,1.8392,5,31F1,0.00039,0.859,0.036
5_31F1,51.0403,1.8456,5,31F1,0.00039,0.859,0.036
5_31F1,51.0437,1.1806,5,31F1,0.00039,0.859,0.036
5_31F1,51.043,1.8586,5,31F1,0.00039,0.859,0.036
5_31F1,51.0441,1.1826,5,31F1,0.00039,0.859,0.036
5_31F1,51.0444,1.1844,5,31F1,0.00039,0.859,0.036
5_31F1,51.0509,1.2265,5,31F1,0.00039,0.859,0.036
5_31F1,51.0515,1.232,5,31F1,0.00039,0.859,0.036
5_31F1,51.0667,1.9166,5,31F1,0.00039,0.859,0.036
5_31F1,51.0822,1.9192,5,31F1,0.00039,0.859,0.036
5_31F1,51.0832,1.9218,5,31F1,0.00039,0.859,0.036
5_31F1,51.0833,1.8667,5,31F1,0.00039,0.859,0.036
6_31F2,51.0833,2.0333,6,31F2,-0.00427,0.00151,-0.485
5_31F1,51.0845,1.8791,5,31F1,0.00039,0.859,0.036
5_31F1,51.0872,1.9107,5,31F1,0.00039,0.859,0.036
5_31F1,51.0887,1.9566,5,31F1,0.00039,0.859,0.036
5_31F1,51.0892,1.9606,5,31F1,0.00039,0.859,0.036
5_31F1,51.0894,1.9638,5,31F1,0.00039,0.859,0.036
5_31F1,51.0919,1.9506,5,31F1,0.00039,0.859,0.036
6_31F2,51.0953,2.0374,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.0971,2.0428,6,31F2,-0.00427,0.00151,-0.485
5_31F1,51.0972,1.8375,5,31F1,0.00039,0.859,0.036
6_31F2,51.0996,2.0501,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1016,2.0592,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1024,2.0575,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1027,2.0602,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1035,2.062,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1043,2.0335,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1053,2.0451,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.107,2.0466,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1117,2.1019,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1143,2.0798,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1166,2.1,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1167,2.1167,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1181,2.1041,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1183,2.1097,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1185,2.0999,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1187,2.1104,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1235,2.1798,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1259,2.1895,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1333,2.1831,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1333,2.2118,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1333,2.2167,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1333,2.2167,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1353,2.2154,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1389,2.2219,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.138,2.2127,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1408,2.2256,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1433,2.15,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1825,2.3875,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1887,2.3909,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.05,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.0667,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.0667,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.0833,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.0833,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.0833,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.0833,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.0833,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.0833,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.1,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.1,2.1,6,31F2,-0.00427,0.00151,-0.485
5_31F1,51.2138,1.654,5,31F1,0.00039,0.859,0.036
6_31F2,51.2167,2.0333,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.2167,2.0667,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.2167,2.15,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.2333,2.05,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.2333,2.0833,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.2333,2.1667,6,31F2,-0.00427,0.00151,-0.485
5_31F1,51.2459,1.7077,5,31F1,0.00039,0.859,0.036
5_31F1,51.246,1.71,5,31F1,0.00039,0.859,0.036
5_31F1,51.2568,1.7149,5,31F1,0.00039,0.859,0.036
5_31F1,51.2576,1.7158,5,31F1,0.00039,0.859,0.036
5_31F1,51.2585,1.716,5,31F1,0.00039,0.859,0.036
5_31F1,51.2599,1.7173,5,31F1,0.00039,0.859,0.036
5_31F1,51.2641,1.7195,5,31F1,0.00039,0.859,0.036
6_31F2,51.2667,2.2,6,31F2,-0.00427,0.00151,-0.485
5_31F1,51.2674,1.7212,5,31F1,0.00039,0.859,0.036
5_31F1,51.2713,1.7238,5,31F1,0.00039,0.859,0.036
6_31F2,51.2833,2.2,6,31F2,-0.00427,0.00151,-0.485
5_31F1,51.28,1.7283,5,31F1,0.00039,0.859,0.036
5_31F1,51.2901,1.733,5,31F1,0.00039,0.859,0.036
5_31F1,51.294,1.7365,5,31F1,0.00039,0.859,0.036
5_31F1,51.2994,1.7386,5,31F1,0.00039,0.859,0.036
6_31F2,51.2,2.0333,6,31F2,-0.00427,0.00151,-0.485
6_31F2,51.2,2,6,31F2,-0.00427,0.00151,-0.485
