LAT,LOG,Date,Area,SubArea,Values
43.506,-2.1744,10/24/2014,Gs,5,0.105113072
43.5582,-2.2091,10/24/2014,Gs,6,0.219638156
43.6024,-2.2949,10/24/2014,Gs,7,0
43.6856,-1.4891,10/26/2011,Gs,2,0.034735679
43.6896,-1.4846,10/21/2012,Gs,1,0.161136629
43.691,-1.6494,10/22/2001,Gs,3,0.312313173
43.6931,-1.4885,10/18/1998,Gs,2,0.117073629
43.6951,-1.4819,10/17/2009,Gs,1,0.208205791
43.6959,-1.4812,10/26/2011,Gs,1,0.079637818
43.6959,-1.4816,10/24/2005,Gs,1,0.070286005
43.6964,-1.4883,10/31/2021,Gs,2,0.116425042
43.6989,-1.6842,10/24/2008,Gs,3,0.014221935
43.6994,-1.6874,10/21/2013,Gs,3,0.375302445
43.6995,-1.6895,10/25/2014,Gs,3,0.426475507
43.6998,-1.488,10/22/2007,Gs,2,0.095774664
43.69,-1.4887,10/24/2015,Gs,2,0.045920285
43.7188,-1.4874,10/26/2018,Gs,2,0
43.7208,-1.4902,10/23/2016,Gs,2,0.372501002
43.7233,-1.4871,10/24/2008,Gs,2,0.042037685
43.7255,-1.4869,11/2/2020,Gs,2,0.4010263
43.7444,-1.5014,10/26/2014,Gs,2,0.060012406
43.7521,-1.4996,10/26/2006,Gs,2,0.286109072
43.7539,-1.4995,10/26/2018,Gs,2,0.339092234
43.75,-1.5,10/10/1997,Gs,2,0.030912037
43.7642,-1.9625,11/1/2004,Gs,4,0.420040652
43.7813,-1.4527,10/26/2014,Gs,1,0.293715405
43.7819,-1.4931,10/24/2008,Gs,2,0.054960454
43.7823,-1.4934,10/23/2016,Gs,2,0.365972612
43.7835,-1.4517,10/17/2009,Gs,1,0
43.7848,-1.4935,10/24/2005,Gs,2,0.308749863
43.785,-1.4929,11/2/2020,Gs,2,0.418822795
43.7953,-1.9688,10/24/2015,Gs,4,0.139538596
43.8014,-1.6255,10/26/2003,Gs,3,0.145224613
43.8033,-1.9931,11/3/2020,Gs,4,0.113655826
43.8034,-1.6249,11/1/2004,Gs,3,0.063884332
43.8039,-1.9918,10/18/1998,Gs,4,0.383902522
43.8062,-1.9932,10/24/2016,Gs,4,0.168150623
43.8112,-1.9922,10/25/2006,Gs,4,0.107165646
43.8117,-1.4533,10/10/1997,Gs,1,0.142977084
43.815,-1.4521,10/26/2006,Gs,1,0.402437751
43.8269,-1.6255,10/22/2007,Gs,3,0.042200662
43.828,-1.9939,10/25/2011,Gs,4,0.326118489
43.8317,-1.9944,10/31/2021,Gs,4,0.086528832
43.8328,-1.9949,10/24/2008,Gs,4,0.187242696
43.8335,-1.9945,10/22/2012,Gs,4,0.437440487
43.8343,-1.9946,10/24/2015,Gs,4,0.070770233
43.8383,-1.6283,10/26/2006,Gs,3,0.47601738
43.8388,-1.9937,10/26/2018,Gs,4,0.326823306
43.8677,-2.1175,10/22/2001,Gs,6,0.411294835
43.8713,-2.1191,10/25/2006,Gs,6,0.26177751
43.8714,-2.1196,10/26/2003,Gs,6,0.378288675
43.8855,-2.0938,10/29/2000,Gs,5,0.076588276
43.8891,-2.1266,12/17/1999,Gs,6,0.331509687
43.88,-2.12,10/11/1997,Gs,6,0.453565969
43.8905,-2.1275,10/18/1998,Gs,6,0.388986094
43.8908,-2.0954,10/24/2005,Gs,5,0.375917014
43.8914,-1.7343,12/16/1999,Gs,3,0.194233245
43.8933,-1.7383,10/10/1997,Gs,3,0.00563263
43.8935,-2.1306,10/24/2005,Gs,6,0.151041777
43.8977,-1.7376,10/16/2009,Gs,3,0.141070018
43.8991,-1.7369,10/21/2013,Gs,3,0.414741341
43.8996,-1.7367,10/26/2018,Gs,3,0.366390537
43.9015,-1.7361,10/24/2015,Gs,3,0.025606698
43.9016,-2.0971,10/26/2003,Gs,5,0.430231535
43.9023,-1.7359,10/25/2014,Gs,3,0.043089739
43.9031,-2.134,10/15/2002,Gs,6,0.267233042
43.9044,-1.7353,11/2/2020,Gs,3,0.064791112
43.9064,-2.0964,12/17/1999,Gs,5,0.406216176
43.9067,-2.0823,10/16/2009,Gs,5,0.256779552
43.9068,-2.082,10/27/2018,Gs,5,0.364730406
43.9068,-2.096,10/15/2002,Gs,5,0.155221541
43.9071,-2.136,11/1/2004,Gs,6,0.336148373
43.9072,-2.0821,10/21/2013,Gs,5,0.340531634
43.9087,-2.0822,10/25/2014,Gs,5,0.245564472
43.9096,-2.0821,10/24/2016,Gs,5,0.184054163
43.9107,-2.0333,10/16/2009,Gs,4,0.237245444
43.9107,-2.0965,10/18/1998,Gs,5,0.347864697
43.9117,-2.0967,10/10/1997,Gs,5,0.321184634
43.9121,-2.0966,10/25/2011,Gs,5,0.466330907
43.9132,-2.0815,10/23/2010,Gs,5,0.441946859
43.9152,-2.0974,11/2/2004,Gs,5,0.326452741
43.9218,-2.0988,10/25/2014,Gs,5,0.263864609
43.9226,-2.0989,10/23/2015,Gs,5,0.344280553
43.922,-2.0985,10/22/2012,Gs,5,0.143091242
43.9247,-2.0323,10/18/1998,Gs,4,0.060725758
43.9299,-1.7266,10/21/2012,Gs,3,0.122855901
43.9317,-1.726,10/30/2021,Gs,3,0.043340138
43.9331,-1.7255,10/23/2016,Gs,3,0.016303533
43.9365,-2.0803,10/31/2021,Gs,5,0.360360495
43.9399,-2.0333,10/23/2010,Gs,4,0.292483025
43.9414,-2.0342,10/23/2005,Gs,4,0.265191921
43.9437,-2.0336,10/26/2003,Gs,4,0.41550298
43.9452,-2.0347,10/23/2008,Gs,5,0.154922789
43.9496,-2.0344,10/22/2012,Gs,4,0.375032135
43.9497,-2.1626,11/11/1999,Gs,7,0.289991002
43.9501,-2.1613,10/29/2000,Gs,7,0.231992802
43.9505,-2.0327,10/22/2001,Gs,4,0.166706663
43.9533,-2.1619,11/2/2004,Gs,7,0.408859767
43.954,-2.1621,10/15/2002,Gs,7,0
43.9625,-2.0943,10/15/2002,Gs,5,0.476210801
43.9646,-2.1574,10/22/2001,Gs,7,0.435644854
43.9663,-2.1587,10/22/2013,Gs,7,0.347747452
43.9699,-2.1584,10/24/2016,Gs,7,0.116494666
43.96,-2.0333,10/10/1997,Gs,4,0.190613367
43.9728,-2.1576,10/26/2003,Gs,7,0.304490734
43.9732,-2.1571,10/25/2006,Gs,7,0.383076147
43.9733,-2.1612,10/21/2007,Gs,7,0.386143954
43.9743,-2.1607,10/23/2008,Gs,7,0.303011007
43.974,-2.1547,10/23/2010,Gs,7,0.224033459
43.9784,-2.1559,11/3/2020,Gs,7,0.246699347
43.9837,-2.0873,10/25/2006,Gs,5,0.38643832
43.9887,-2.1528,10/16/2009,Gs,7,0.328150973
43.9933,-2.0854,10/22/2001,Gs,5,0.207721837
44.003,-2.1511,10/25/2011,Gs,7,0.335931369
44.0071,-2.1497,10/22/2012,Gs,7,0.213514587
44.0147,-2.149,10/25/2014,Gs,7,0
44.0166,-2.1489,10/27/2018,Gs,7,0
44.0195,-2.1491,10/23/2015,Gs,7,0.238142189
44.055,-2.0947,10/22/2013,Gs,6,0.276764461
44.0566,-2.0941,10/30/2021,Gs,6,0.221988431
44.0583,-2.0934,10/23/2010,Gs,6,0.265254919
44.0646,-1.3887,10/26/2011,Gs,1,0.156024593
44.0658,-1.3882,10/31/2021,Gs,2,0
44.0688,-2.0779,10/27/2018,Gs,6,0.31673533
44.0746,-2.0751,11/3/2020,Gs,6,0.334512142
44.0762,-1.7911,10/27/2018,Gs,3,0.061455876
44.0763,-1.791,11/2/2004,Gs,3,0.48847436
44.0774,-1.788,11/2/2020,Gs,4,0.145245125
44.0819,-1.7654,10/25/2003,Gs,3,0.500573882
44.0865,-2.0756,10/25/2011,Gs,6,0.415007584
44.089,-2.0683,10/23/2014,Gs,6,0.136068029
44.0904,-1.3789,11/2/2020,Gs,2,0.334056241
44.0906,-2.0676,10/22/2012,Gs,6,0.235446303
44.0915,-1.3786,10/23/2016,Gs,1,0
44.091,-1.7538,10/23/2008,Gs,3,0.491143402
44.0952,-2.0658,10/24/2016,Gs,6,0.137737613
44.0955,-2.0658,10/23/2015,Gs,6,0.128197471
44.095,-1.7429,10/30/2021,Gs,3,0.037149557
44.095,-1.744,10/23/2016,Gs,3,0.021285628
44.0967,-1.3761,10/20/2013,Gs,1,0.286106768
44.1307,-1.9964,10/22/2013,Gs,4,0.210077524
44.1571,-1.3482,10/22/2007,Gs,1,0.40415745
